"Date","Price","Open","High","Low","Vol.","Change %"
"2025/10/27","1,461.125","1,458.780","1,462.905","1,458.500","","0.08%"
"2025/10/26","1,459.975","1,458.780","1,461.900","1,459.780","","-0.03%"
"2025/10/24","1,460.465","1,463.860","1,464.415","1,457.995","","-0.23%"
"2025/10/23","1,463.870","1,463.690","1,466.500","1,458.605","","0.03%"
"2025/10/22","1,463.450","1,465.045","1,468.500","1,462.650","","-0.11%"
"2025/10/21","1,465.040","1,466.380","1,470.925","1,463.040","","-0.05%"
"2025/10/20","1,465.770","1,468.990","1,475.870","1,465.065","","-0.22%"
"2025/10/19","1,468.990","1,467.990","1,470.330","1,468.990","","-0.03%"
"2025/10/17","1,469.400","1,469.670","1,475.170","1,463.000","","0.02%"
"2025/10/16","1,469.130","1,468.830","1,471.085","1,461.570","","0.03%"
"2025/10/15","1,468.680","1,460.630","1,468.680","1,456.500","","0.71%"
"2025/10/14","1,458.350","1,459.965","1,465.530","1,454.170","","-0.13%"
"2025/10/13","1,460.185","1,459.730","1,464.500","1,454.170","","-0.13%"
"2025/10/10","1,462.110","1,475.815","1,503.750","1,457.765","","-0.93%"
"2025/10/09","1,475.835","1,470.600","1,476.225","1,467.760","","0.19%"
"2025/10/08","1,473.000","1,470.775","1,475.215","1,465.750","","0.15%"
"2025/10/07","1,470.775","1,466.200","1,475.385","1,464.730","","-0.03%"
"2025/10/06","1,471.200","1,461.530","1,472.695","1,460.215","","0.00%"
"2025/10/03","1,471.165","1,469.730","1,471.510","1,460.065","","0.10%"
"2025/10/02","1,469.730","1,477.700","1,486.000","1,455.800","","-0.91%"
"2025/10/01","1,483.195","1,483.240","1,485.875","1,477.590","","0.00%"
"2025/09/30","1,483.175","1,481.590","1,486.265","1,475.000","","-0.17%"
"2025/09/29","1,485.675","1,484.910","1,488.135","1,480.310","","-0.04%"
"2025/09/26","1,486.220","1,490.015","1,503.750","1,483.040","","-0.26%"
"2025/09/25","1,490.020","1,491.880","1,493.600","1,486.155","","-0.12%"
"2025/09/24","1,491.880","1,490.375","1,494.535","1,486.755","","0.10%"
"2025/09/23","1,490.345","1,488.650","1,494.805","1,486.420","","-0.20%"
"2025/09/22","1,493.275","1,495.500","1,497.750","1,488.350","","0.03%"
"2025/09/19","1,492.810","1,497.655","1,501.895","1,490.775","","-0.19%"
"2025/09/18","1,495.655","1,495.590","1,500.145","1,488.620","","0.01%"
"2025/09/17","1,495.510","1,491.350","1,497.045","1,487.155","","0.02%"
"2025/09/16","1,495.250","1,498.150","1,501.515","1,488.900","","-0.19%"
"2025/09/15","1,498.100","1,500.500","1,505.220","1,497.370","","-0.10%"
"2025/09/12","1,499.590","1,502.270","1,504.620","1,499.040","","-0.34%"
"2025/09/11","1,504.700","1,504.075","1,508.450","1,498.000","","0.07%"
"2025/09/10","1,503.630","1,506.160","1,514.500","1,500.990","","-0.17%"
"2025/09/09","1,506.175","1,507.730","1,512.610","1,503.110","","-0.02%"
"2025/09/08","1,506.490","1,517.510","1,527.120","1,503.140","","-1.43%"
"2025/09/05","1,528.295","1,526.190","1,529.410","1,517.510","","0.14%"
"2025/09/04","1,526.190","1,525.470","1,539.505","1,517.805","","-0.86%"
"2025/09/03","1,539.505","1,536.405","1,539.505","1,524.730","","0.03%"
"2025/09/02","1,539.000","1,528.730","1,539.000","1,525.285","","0.61%"
"2025/09/01","1,529.680","1,532.570","1,534.605","1,526.235","","-0.47%"
"2025/08/29","1,536.950","1,534.320","1,537.440","1,531.800","","0.20%"
"2025/08/28","1,533.880","1,536.070","1,538.975","1,533.455","","-0.16%"
"2025/08/27","1,536.265","1,537.000","1,538.315","1,533.155","","-0.05%"
"2025/08/26","1,536.960","1,536.680","1,537.940","1,530.380","","0.03%"
"2025/08/25","1,536.560","1,535.040","1,537.750","1,519.460","","0.07%"
"2025/08/22","1,535.550","1,536.770","1,539.625","1,533.265","","-0.08%"
"2025/08/21","1,536.760","1,532.930","1,537.600","1,532.930","","0.00%"
"2025/08/20","1,536.810","1,534.310","1,537.845","1,532.585","","0.25%"
"2025/08/19","1,533.010","1,529.770","1,536.400","1,529.770","","-0.08%"
"2025/08/18","1,534.260","1,529.000","1,535.530","1,528.715","","0.32%"
"2025/08/15","1,529.430","1,531.280","1,535.375","1,529.215","","-0.12%"
"2025/08/14","1,531.280","1,531.800","1,536.200","1,531.280","","-0.03%"
"2025/08/13","1,531.800","1,534.000","1,537.565","1,531.625","","-0.29%"
"2025/08/12","1,536.205","1,536.145","1,538.055","1,533.855","","0.00%"
"2025/08/11","1,536.130","1,532.000","1,536.690","1,530.030","","0.22%"
"2025/08/08","1,532.705","1,534.440","1,535.455","1,529.395","","-0.11%"
"2025/08/07","1,534.465","1,530.000","1,536.205","1,524.875","","0.21%"
